Banda_1,Banda_2,Banda_3,Banda_4,Banda_5,classes
4.01E-02,4.74E-02,9.29E-02,0.08807009956,0.362854693,GRAMA
4.02E-02,4.79E-02,9.35E-02,0.08889480654,0.3656081126,GRAMA
4.08E-02,4.84E-02,9.44E-02,0.08954825432,0.3703699015,GRAMA
4.07E-02,4.83E-02,9.48E-02,0.09027276032,0.3719398692,GRAMA
4.04E-02,4.83E-02,9.45E-02,0.08979025371,0.3706118645,GRAMA
4.03E-02,4.81E-02,9.43E-02,0.08939368063,0.3689538821,GRAMA
4.04E-02,4.81E-02,9.40E-02,0.08903794845,0.3666568025,GRAMA
4.03E-02,4.79E-02,9.40E-02,0.08910041366,0.3667131126,GRAMA
4.03E-02,4.84E-02,9.48E-02,0.09007193257,0.3713941832,GRAMA
4.07E-02,4.84E-02,9.53E-02,0.09036393,0.3721166063,GRAMA
3.66E-02,3.96E-02,5.83E-02,0.07685365252,0.1511533877,SOLO EXPOSTO
3.91E-02,4.26E-02,6.33E-02,0.08385352916,0.1654083206,SOLO EXPOSTO
4.02E-02,4.35E-02,6.48E-02,0.08580088758,0.1686555491,SOLO EXPOSTO
3.89E-02,4.22E-02,6.29E-02,0.08284722017,0.1631480402,SOLO EXPOSTO
3.65E-02,3.96E-02,5.86E-02,0.07648247759,0.1509599852,SOLO EXPOSTO
3.45E-02,3.71E-02,5.48E-02,0.07105528271,0.1403018809,SOLO EXPOSTO
3.41E-02,3.65E-02,5.37E-02,0.06973429325,0.1371151919,SOLO EXPOSTO
3.34E-02,3.59E-02,5.25E-02,0.06819623166,0.1340040466,SOLO EXPOSTO
3.25E-02,3.46E-02,5.05E-02,0.06528808986,0.1291728301,SOLO EXPOSTO
3.38E-02,3.62E-02,5.31E-02,0.06852734689,0.1358143478,SOLO EXPOSTO
5.91E-02,6.51E-02,8.87E-02,0.1059802302,0.1157310512,BRITA
6.95E-02,7.77E-02,1.07E-01,0.1281463757,0.1403654707,BRITA
7.15E-02,8.04E-02,1.10E-01,0.1337068331,0.1472654523,BRITA
7.21E-02,8.10E-02,1.11E-01,0.1345235679,0.1484516755,BRITA
7.34E-02,8.23E-02,1.14E-01,0.1374238345,0.1518231182,BRITA
7.30E-02,8.19E-02,1.13E-01,0.137482052,0.150817392,BRITA
7.30E-02,8.15E-02,1.13E-01,0.1372812519,0.1510775332,BRITA
7.29E-02,8.18E-02,1.13E-01,0.1377071298,0.1521243587,BRITA
7.29E-02,8.17E-02,1.13E-01,0.1371202724,0.1518568475,BRITA
7.13E-02,8.00E-02,1.10E-01,0.1333333383,0.1473024562,BRITA
3.78E-02,4.51E-02,9.03E-02,0.08588382594,0.3741345047,GRAMA
3.88E-02,4.61E-02,9.26E-02,0.08760427713,0.3855167502,GRAMA
3.64E-02,4.32E-02,8.61E-02,0.08127232515,0.3572111613,GRAMA
3.29E-02,3.90E-02,7.69E-02,0.07212005988,0.3164815049,GRAMA
2.83E-02,3.34E-02,6.52E-02,0.06060362724,0.2698055367,GRAMA
2.45E-02,2.83E-02,5.48E-02,0.05013383143,0.2220960341,GRAMA
2.20E-02,2.51E-02,4.78E-02,0.04320499468,0.1897554018,GRAMA
2.03E-02,2.32E-02,4.36E-02,0.03921102053,0.1714412893,GRAMA
1.96E-02,2.21E-02,4.15E-02,0.03731668389,0.1611837076,GRAMA
1.97E-02,2.23E-02,4.18E-02,0.03757850054,0.1617010945,GRAMA
1.02E-02,1.06E-02,2.96E-02,0.01177337852,0.2395675778,VEGETACAO
9.86E-03,1.05E-02,2.91E-02,0.01154490804,0.23846939,VEGETACAO
9.96E-03,1.05E-02,2.90E-02,0.01140621905,0.2388027383,VEGETACAO
1.01E-02,1.06E-02,2.91E-02,0.0115044086,0.2404000098,VEGETACAO
1.01E-02,1.06E-02,2.93E-02,0.01147819458,0.2406874945,VEGETACAO
9.81E-03,1.04E-02,2.89E-02,0.01141210122,0.2390051477,VEGETACAO
9.94E-03,1.05E-02,2.89E-02,0.01161817895,0.2401354939,VEGETACAO
1.00E-02,1.05E-02,2.90E-02,0.01151298581,0.2408952069,VEGETACAO
9.92E-03,1.04E-02,2.91E-02,0.01150995699,0.239138643,VEGETACAO
1.01E-02,1.06E-02,2.94E-02,0.01157093497,0.2394637851,VEGETACAO
3.44E-02,3.78E-02,6.32E-02,0.1232651948,0.1671936565,SOLO EXPOSTO
3.40E-02,3.72E-02,6.24E-02,0.1211875505,0.1646801665,SOLO EXPOSTO
3.25E-02,3.56E-02,5.94E-02,0.1149726561,0.1562171942,SOLO EXPOSTO
3.33E-02,3.63E-02,6.09E-02,0.1182703572,0.1602429044,SOLO EXPOSTO
3.44E-02,3.75E-02,6.29E-02,0.1219479415,0.1657017452,SOLO EXPOSTO
3.41E-02,3.71E-02,6.24E-02,0.1209473575,0.1644656901,SOLO EXPOSTO
3.36E-02,3.64E-02,6.12E-02,0.1187397464,0.1608252663,SOLO EXPOSTO
3.24E-02,3.49E-02,5.83E-02,0.1125708235,0.152898036,SOLO EXPOSTO
2.89E-02,3.11E-02,5.06E-02,0.09641469304,0.131309139,SOLO EXPOSTO
2.97E-02,3.22E-02,5.24E-02,0.1004011949,0.1362586038,SOLO EXPOSTO
2.65E-02,2.76E-02,4.36E-02,0.08157707109,0.1125457325,SOLO EXPOSTO
2.88E-02,3.07E-02,4.89E-02,0.09314679262,0.127371286,SOLO EXPOSTO
3.05E-02,3.24E-02,5.23E-02,0.1000757085,0.1370816493,SOLO EXPOSTO
2.95E-02,3.14E-02,5.04E-02,0.09590263876,0.1311600048,SOLO EXPOSTO
2.82E-02,2.99E-02,4.74E-02,0.09053969864,0.1240042104,SOLO EXPOSTO
2.71E-02,2.86E-02,4.54E-02,0.08640848052,0.1178786566,SOLO EXPOSTO
2.65E-02,2.81E-02,4.43E-02,0.08413553619,0.1150525107,SOLO EXPOSTO
2.76E-02,2.92E-02,4.68E-02,0.08953104454,0.1223417853,SOLO EXPOSTO
2.91E-02,3.10E-02,5.02E-02,0.09652182717,0.1324798849,SOLO EXPOSTO
3.08E-02,3.27E-02,5.35E-02,0.1034582869,0.1424771755,SOLO EXPOSTO
3.58E-02,3.90E-02,6.41E-02,0.126526366,0.1700664214,SOLO EXPOSTO
3.59E-02,3.86E-02,6.37E-02,0.1254671482,0.168894182,SOLO EXPOSTO
3.55E-02,3.84E-02,6.32E-02,0.1252607418,0.1684900844,SOLO EXPOSTO
3.52E-02,3.83E-02,6.30E-02,0.124689221,0.1687464359,SOLO EXPOSTO
3.52E-02,3.82E-02,6.30E-02,0.124337026,0.1686059562,SOLO EXPOSTO
3.50E-02,3.79E-02,6.26E-02,0.1236173285,0.1679075408,SOLO EXPOSTO
3.50E-02,3.80E-02,6.26E-02,0.1238680287,0.1678445578,SOLO EXPOSTO
3.48E-02,3.78E-02,6.26E-02,0.1231476209,0.1672661636,SOLO EXPOSTO
3.45E-02,3.74E-02,6.20E-02,0.1229004354,0.1664641391,SOLO EXPOSTO
3.46E-02,3.77E-02,6.24E-02,0.1233320947,0.1673833911,SOLO EXPOSTO
1.82E-02,1.93E-02,3.37E-02,0.03573976371,0.1167530084,GRAMA
2.32E-02,2.53E-02,4.56E-02,0.04991568863,0.1591704859,GRAMA
2.94E-02,3.27E-02,6.06E-02,0.0681665556,0.2146926745,GRAMA
3.13E-02,3.47E-02,6.50E-02,0.07395304537,0.2315132125,GRAMA
3.15E-02,3.52E-02,6.54E-02,0.07569378003,0.231540577,GRAMA
3.19E-02,3.54E-02,6.54E-02,0.07720580075,0.2295876892,GRAMA
3.20E-02,3.54E-02,6.54E-02,0.07718259095,0.2297917619,GRAMA
3.20E-02,3.55E-02,6.54E-02,0.07708490522,0.2300134243,GRAMA
3.20E-02,3.55E-02,6.53E-02,0.07700070448,0.2303347601,GRAMA
3.17E-02,3.52E-02,6.52E-02,0.07627669781,0.229172794,GRAMA
3.11E-02,3.47E-02,6.96E-02,0.09617166503,0.2171540637,SOLO UMIDO
3.13E-02,3.48E-02,6.98E-02,0.09554293085,0.2181736844,SOLO UMIDO
3.13E-02,3.47E-02,6.99E-02,0.09513602686,0.2194038061,SOLO UMIDO
